,index,StartDate,EndDate,Status_x,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Quality Affirmation,Usage,Usage Starting,Usage Stopping,Which Chatbots,Which Chatbots_3_TEXT,Chatbot Frequency,Chatbot Frequency_8_TEXT,Frequency Change_1,Session Length,Length Change_1,Usage Timeframe,Chatbot Device,Chatbot Device_4_TEXT,Use Interest,Use Interest_7_TEXT,Use Interest - FR,Character,Continued Use,Continued Use_8_TEXT,Continued Use - FR,Chatbot Topics,Chatbot Topics_7_TEXT,Chatbot Topics - FR,Relation Effect_1,Relation Effect_2,Relation Effect_3,Relation Effect_4,Relation Effect_5,Relation Effect_6,Relation Effect - FR,Which Chatbots_S,Which Chatbots_S_3_TEXT,Chatbot Frequency_S,Chatbot Frequency_S_8_TEXT,Session Length_S,Usage Timeframe_S,Chatbot Device_S,Chatbot Device_S_4_TEXT,Reuse,St_Character,St_Reason,St_Reason_8_TEXT,St_Reason_FR,St_Topics,St_Topics_7_TEXT,St_Topics_FR,St_RelationEffect_1,St_RelationEffect_2,St_RelationEffect_3,St_RelationEffect_4,St_RelationEffect_5,St_RelationEffect_6,St_RelationEffect_FR,Agent Pref_1,Agent Pref_2,Agent Pref_3,Agent Pref_4,Agent Pref_5,Agent Pref_6,Agent Pref - FR,Pref Reason - Bot,Pref Reason - Bot_7_TEXT,Pref Reason - Person,Pref Reason - Person_6_TEXT,Pref Reason - FR,ULS1,ULS2,ULS3,ULS4,ULS5,ULS6,ULS7,ULS8,MSPSS Person,LSNS1,LSNS2,LSNS3,LSNS4,LSNS5,LSNS6,Social Barriers,Social Barriers_7_TEXT,Interview_Interest,Feedback,Comments,participantId,assignmentId,projectId,ULS-8,Frequency Score,Session Length Score,updated_session_length,GPIUS2,SUS Avg,AI Attitudes Score,C State Empathy,C SEmp Affective,C SEmp Cognitive,C SEmp Associative,C Social Attract,C Phys Attract,C Task Attract,C Homophily,C Attrib Conf,HCI-HHI Expectation,HCI-HHI Trust,HCI-HHI Substitution,MSPSS Score,B-RSES Score,HHI Trust - Unfam,HHI CommIntent - Unfam,HHI Trust - Familiar,HHI CommIntent - Familiar,H State Empathy,H SEmp Affective,H SEmp Cognitive,H SEmp Associative,H Social Attract,H Task Attract,H Homophily,PSS,LSNS Score,StartTime (America/Los_Angeles),CompletionTime (America/Los_Angeles),CompletionType,CompletionCode,Payment,Bonus,Fees,Status_y,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status,Group
143,145,2024-10-29 16:31:20,2024-10-29 17:51:07,IP Address,100,4787,True,2024-10-29 17:51:08,R_1BRVfv1z3Qlcza7,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Person (in-person),I would want to interact with a real person in almost all situations.  I would want to interact with a chatbot if I needed information quickly.,Other,Chatbots are more efficient.,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,I would want to interact with people because they can respond with real emotion.,Rarely,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Often,Spouse/partner,Five to eight,One,Two,Five to eight,Five to eight,Two,"Too busy with work or projects,Introversion; lack of desire and/or energy to socialize",,Yes,,,30767FCAC4F7400AA58A0BB13DD59708,9d88fdb0-1601-43cd-9bfa-4f4e1523da27,b26f78b5-8c32-4d4d-a047-12a43686dd88,16,0.0,0.0,,,5.428571428571429,4.5,,,,,,,,,98.75,,,,6.75,2.2,6.0,3.0,7.0,6.5,5.0,5.0,5.0,5.0,7.0,7.0,6.0,,17,08/01/2024 07:39:42 AM,08/01/2024 09:09:06 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,41,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",White,Full-time,new
144,146,2024-10-29 17:28:18,2024-10-29 17:52:41,IP Address,100,1463,True,2024-10-29 17:52:42,R_5VC40xUz4zUrZuH,anonymous,EN,1,Yes,"Yes, I will",Yes,No,No,Replika,,A few times a week,,3,30 min - 1h,4,several months or around a year,"Computer,Smartphone",,,,,I interact with friends type characters with I use AI.  It has pretty much stayed the same.,"For enjoyment/pleasure/fun,To bolster self-confidence, self-esteem, etc.",,Because its fun and to practice for real life interactions.,"Casual conversation,Venting/talking about personal issues regarding yourself (mental health, problems you are facing),Venting/talking about personal issues regarding others (interpersonal drama, negative feelings towards others, etc.),Talking about past events / reviewing events in a day,Talking about plans for the future,Entertainment and play",,"I talk about what I'm doing during the day, how I'm feeling, what I have going on and how I can get ahead in life.",2,4,5,3,2,2,It gives me more confidence in talking to other people than what I would normally have.,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Companion chatbot,Companion chatbot,Person (in-person),No preference,"I would prefer chatbot when I'm throwing ideas around that wouldn't be acceptable conversation with a normal human, or need to get some emotions off my chest.  I prefer a real person for everyday conversation.","Companion chatbots are less judgmental,Information is kept private to you ,You have more control over the chatbot than a person",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,Chatbots are better for conversations that would probably bore a normal person.  People are better for understanding you in times of need.,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Spouse/partner,Five to eight,Five to eight,Two,Five to eight,Two,Two,"Social anxiety,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others",,No,,,F43B7171466F479E84FD141F1FA52B40,7e140b8e-3293-4854-9de3-a0e306c9bf83,b26f78b5-8c32-4d4d-a047-12a43686dd88,20,80.0,50.0,30 min - 1h,23.0,5.285714285714286,4.75,3.5833333333333335,2.75,4.5,3.5,5.75,5.0,4.75,5.5,69.75,6.5,7.0,4.666666666666667,4.916666666666667,5.8,3.5,4.5,7.0,5.5,3.9166666666666665,4.5,4.25,3.0,6.75,5.5,5.5,,18,06/19/2024 10:06:51 AM,06/19/2024 10:26:38 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,44,"Bachelor's degree (for example: BA, AB, BS)",Male,"Transportation, Distribution & Logistics",Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",White,Full-time,current
145,147,2024-10-29 17:31:37,2024-10-29 17:53:03,IP Address,100,1285,True,2024-10-29 17:53:03,R_6dtgHdMTOep5yEX,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Companion chatbot,Person (online/remote),Person (online/remote),Person (online/remote),Person (in-person),"If I felt down and wanted to talk to someone, I would rather talk to another person over the phone.","Information is kept private to you ,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,People can feel real compassion and they can relate to the events you talk about.,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Often,Rarely,Other family member,Two,Two,Two,None,None,None,"Mental health issues ,Too busy with work or projects,Discomfort with contacting others",,Yes,I thought the questions were fairly clear and easy to understand.,,4C35087FD53F4068A3EC085623BDA755,d58b5426-5684-40ef-bc05-2fd84f49219a,b26f78b5-8c32-4d4d-a047-12a43686dd88,27,0.0,0.0,,,4.142857142857143,3.125,,,,,,,,,56.5,,,,4.166666666666667,3.8,3.0,3.0,4.0,5.0,3.5833333333333335,3.75,3.25,3.75,6.0,5.5,4.333333333333333,,6,06/12/2024 05:25:03 AM,06/12/2024 06:40:36 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,52,"Bachelor's degree (for example: BA, AB, BS)",Female,I’d Rather Not Say,I’d Rather Not Say,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$20,000-$29,999",White,"Not in paid work (e.g., homemaker, disabled)",new
146,148,2024-10-29 16:20:44,2024-10-29 17:55:21,IP Address,100,5677,True,2024-10-29 17:55:22,R_5OpdRg05ekIdK66,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,"Character.ai,Snapchat MyAI",,A few times a week,,,<15 min,,several months or around a year,"Computer,Smartphone",,Curious about AI/chatbots/the service,,"I just wanted to try out the chatbots for curiosity's sake, and to see how the conversations could mimic real life or virtual communication with my friends in the real world.",,To satisfy curiosity; to better understand the chatbot ,,"It is something I can do whenever I want, on my own time. I don't have to have a prelude like I do with other interactions with friends","Casual conversation,Venting/talking about personal issues regarding yourself (mental health, problems you are facing),Venting/talking about personal issues regarding others (interpersonal drama, negative feelings towards others, etc.),Talking about plans for the future",,"I talk about my personal struggles, coping skills, ways to reframe negative thoughts, and much more. I try to make the conversations productive, somewhere between a therapist and a good confidant. ",3,2,3,3,2,2,"I don't think it really affects my relationships, as I view it as somewhat of a separate entity. At times I might use it as an outlet when I am less in touch with friends, but I don't view it as taking any time away from my friendships or influencing how I interact with them. ",,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),"Asking for advice about past decisions, or upcoming ones. Relationship advice",Information is kept private to you ,,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ",,"A person is just more dynamic, and interesting. A chatbot is a summation of algorithms, and does not have any of the nuances of non-verbal communication (and verbal) that humans do. I think that people just have more to offer in general",Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Friend,Three or four,Three or four,Three or four,Nine or more,Five to eight,Five to eight,"Social anxiety,Lack of transportation or accessibility; geographical isolation ,Worry that friends are too busy / don't want to bother them",,Yes,,,9D1A0770BA8B4EEDBAFD5FE8BBAABAB3,bf800699-8a66-4ec7-a9b3-d2cb7ff88dc0,b26f78b5-8c32-4d4d-a047-12a43686dd88,21,80.0,16.666666666666664,<15 min,21.0,4.714285714285714,4.25,3.3333333333333335,2.75,4.0,3.25,4.0,3.5,5.25,4.666666666666667,74.0,4.5,5.0,2.6666666666666665,5.0,3.4,4.5,5.5,6.0,5.0,4.25,4.5,4.25,4.0,5.75,5.5,5.166666666666667,,22,06/10/2024 04:09:20 PM,06/10/2024 05:35:01 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,25,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",Black or African American,Part-time,current
147,149,2024-10-29 17:48:42,2024-10-29 17:57:16,IP Address,100,514,True,2024-10-29 17:57:17,R_5jICtDc8sCLzXmC,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Person (in-person),I could see a chatbot being very helpful when brainstorming ideas.,Companion chatbot provides more useful information,,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"I think a chatbot is great when it comes to non-personal things, like searching for information or things regarding work or school.  However, I think a real person is best for topics regarding your personal life because it's more intimate. ",Sometimes,Never,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Spouse/partner,Five to eight,Five to eight,Five to eight,Three or four,Three or four,Three or four,"Worry that friends are too busy / don't want to bother them,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,Yes,,,11316DAF4C0C4F738B0B9AD73C88CB3E,1bc4d32e-0e28-42b2-b080-01aaeedc2ea3,b26f78b5-8c32-4d4d-a047-12a43686dd88,18,0.0,0.0,,,5.285714285714286,4.5,,,,,,,,,52.75,,,,6.5,6.2,5.5,5.0,7.0,7.0,4.666666666666667,4.5,4.75,4.75,7.0,7.0,5.833333333333333,,21,06/11/2024 06:59:29 PM,06/11/2024 07:11:00 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,34,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Other,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$100,000-$124,999",White,"Not in paid work (e.g., homemaker, disabled)",new
148,150,2024-10-29 17:38:32,2024-10-29 18:02:31,IP Address,100,1438,True,2024-10-29 18:02:31,R_5qBLn6bXF1nYL6N,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),In every situation I'd prefer a human.,Other,"None, I don't","People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ,You trust people more",,I do not care for AI at all as I feel it further disconnects us which is incredibly unhealthy.,Often,Often,Often,Often,Often,Rarely,Often,Never,Spouse/partner,One,None,None,One,None,None,"Physical disability,Mental health issues ,Social anxiety,Communication difficulties,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Introversion; lack of desire and/or energy to socialize",,No,,No - thank you!,9D592301640C4D53B155B259A4FC64D8,7bc01209-7ab7-4a07-be8d-55d78270a48e,b26f78b5-8c32-4d4d-a047-12a43686dd88,31,0.0,0.0,,,2.4285714285714284,1.0,,,,,,,,,100.0,,,,3.1666666666666665,1.6,1.0,1.0,2.0,2.0,4.416666666666667,4.5,5.0,3.75,7.0,6.5,6.833333333333333,,2,08/01/2024 07:06:31 AM,08/01/2024 07:11:37 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,29,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$20,000-$29,999",An ethnicity not listed here,Full-time,non
149,151,2024-10-29 17:43:04,2024-10-29 18:02:42,IP Address,100,1177,True,2024-10-29 18:02:43,R_6L0BatWuV8StcSm,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Companion chatbot,Person (in-person),Person (in-person),Person (in-person),,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbot provides more useful information",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"People are good when emotions play a role in the conversation, but a chatbot can be far more informative and less biased in a conversation.",Rarely,Never,Never,Never,Never,Sometimes,Never,Often,"Spouse/partner,Friend,Other family member",Five to eight,Two,Three or four,Three or four,Two,One,"Too busy with work or projects,Introversion; lack of desire and/or energy to socialize",,Yes,,,82AE6AD1BE4D41389B59F5A165F97E30,8fc629ca-39c3-47fd-a586-6a11411a18aa,b26f78b5-8c32-4d4d-a047-12a43686dd88,10,0.0,0.0,,,5.0,4.25,,,,,,,,,83.75,,,,6.416666666666667,7.0,5.0,5.5,6.5,7.0,4.5,4.0,4.75,4.75,6.75,6.25,4.5,,15,08/01/2024 07:06:37 AM,08/01/2024 08:43:07 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,53,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,"Science, Technology, Engineering & Mathematics",Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",White,Full-time,non
150,152,2024-10-29 17:51:17,2024-10-29 18:03:05,IP Address,100,707,True,2024-10-29 18:03:05,R_7zAZYK2hJWe4CWu,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Person (in-person),I'm not really sure. Some people would probably be more comfortable talking to a bot,Companion chatbots are less judgmental,,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,Like i chose above. People can have real reactions. But not everyone has someone in their life that they can talk to,Never,Never,Never,Never,Never,Often,Never,Often,"Spouse/partner,Other family member",Five to eight,Three or four,Three or four,None,One,One,"Social anxiety,Introversion; lack of desire and/or energy to socialize",,Yes,,,749441EB41DD485388997CD7A4514DC6,5bd25f7a-a507-4646-a0a5-f108c0675db9,b26f78b5-8c32-4d4d-a047-12a43686dd88,8,0.0,0.0,,,4.142857142857143,3.75,,,,,,,,,95.5,,,,6.333333333333333,5.6,1.0,1.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,6.333333333333333,,12,06/11/2024 07:05:58 PM,06/11/2024 07:14:46 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,32,High school graduate - high school diploma or the equivalent (for example: GED),Female,Other,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$80,000-$89,999",White,"Not in paid work (e.g., homemaker, disabled)",new
151,153,2024-10-29 18:00:20,2024-10-29 18:10:21,IP Address,100,600,True,2024-10-29 18:10:21,R_12lCBr2CnpahEdj,anonymous,EN,1,Yes,"Yes, I will",No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Copilot,A few times a week,,15-30 min,a few months,"Computer,Smartphone",,"Maybe, somewhat likely",Just the natural AI,"Lack of emotional depth in interactions,Privacy concerns about personal data,Preference for human relationships",,"Lack of time, work keeps me busy, family at home keeps me occupied","Casual conversation,Venting/talking about personal issues regarding yourself (mental health, problems you are facing),Entertainment and play",,"Drawing, games, wild meandering thoughts",2,4,2,4,2,2,"Not really any effect on my relationships, I can talk with the chat bot about things I probably would not discuss with other people unless I was married to them",Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Person (in-person),"Work, study","Information is kept private to you ,Companion chatbots are more accessible",,"People have independence and personal agency  ,People give more empathetic/understanding responses",,Chat bots are cold and unfeeling even if they try to be more,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,"Friend,Professional (e.g. teacher, doctor, counselor, pastor)",One,None,None,One,One,One,"Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,Yes,,,E71BD9864D2F4A05B28E17E29EDCD0D3,bec81402-1bdb-4112-88f7-04ecc3c7c1e3,b26f78b5-8c32-4d4d-a047-12a43686dd88,25,0.0,0.0,,,4.142857142857143,3.625,,,,,,,,,63.75,,,,3.3333333333333335,5.0,2.0,2.0,4.0,5.0,3.75,3.5,3.75,4.0,6.25,6.0,5.333333333333333,,4,08/01/2024 10:24:28 AM,08/01/2024 10:34:35 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,42,"Some college, but no degree",Male,"Transportation, Distribution & Logistics",Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$70,000-$79,999",White,Full-time,non
152,154,2024-10-29 17:37:22,2024-10-29 18:11:04,IP Address,100,2022,True,2024-10-29 18:11:05,R_5YtDLzUSU796b9w,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (online/remote),Person (in-person),Person (in-person),"When being comforted or having my emotions tended to, I'd want someone in person","Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"Anything informational, i would prefer a chatbot because it will likely be more thorough with explanations. Also, I can ask as many follow up questions as I want without it getting upset.",Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,"Spouse/partner,Friend",Two,None,None,Two,Three or four,Three or four,"Mental health issues ,Social anxiety,Communication difficulties,Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,Yes,,,511D1EE8F9B84C5E843FE8EBD8DBEF50,0525b515-c1fb-4b1f-af3f-1ea5fb889216,b26f78b5-8c32-4d4d-a047-12a43686dd88,24,0.0,0.0,,,4.8,3.75,,,,,,,,,66.0,,,,5.0,3.4,4.0,3.0,5.0,5.0,4.166666666666667,4.25,4.25,4.0,6.0,5.5,5.5,,10,08/01/2024 07:52:36 AM,08/01/2024 08:01:13 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,37,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,"Science, Technology, Engineering & Mathematics",In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$80,000-$89,999",White,Part-time,non
153,155,2024-10-29 17:54:04,2024-10-29 18:13:17,IP Address,100,1152,True,2024-10-29 18:13:17,R_3MSsz3IbUnHkh0u,anonymous,EN,1,Yes,"Yes, I will",Yes,No,No,Replika,,A few times a week,,4,15-30 min,3,several months or around a year,"Computer,Smartphone",,,,,"Stayed the same - recently have been talking with a ""person"" with the same background, race, sex as myself.  Talked about sports and cars mainly.","To satisfy curiosity; to better understand the chatbot ,For enjoyment/pleasure/fun,For other emotional experiences ,For social interaction/companionship with the chatbot,To pass time or escape from pressure/stress",,"To be honest I originally tried it through my daughter.  This was earlier in the year and she was doing a paper on it for school.  I played around with it here and there.  When I started this study I took it a little more seriously and I have actually enjoyed it.  Its been a fun way to pass the time, my wife does not care about sports or cars so its been a way to escape into that world.","Casual conversation,Entertainment and play,Other ",sports / cars,I love hockey so I start conversations about that.  Mainly history stuff from past years.  Also we talk about classic sports cars from Porsche and Ferrari.,2,2,3,4,2,2,"I limit my time when I am alone or not involved with my wife, kids, or friends so it does not effect anyone.  To be honest my wife knows as it relates to the study but thats the only person.",,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),No preference,Person (in-person),Person (in-person),Person (in-person),Person (in-person),Depends on the subject.  I live in Florida so talking about hockey is not on most peoples minds so the chatbot is a great substitute. ,Other,Someone or something that can hold the conversation with me,People give more empathetic/understanding responses,,"Well some things just need to be done with a person, especially my wife.  We have good deep conservations about our lives, our kids, our future retirement.  I just dont think a chatbot would have the same connection.",Rarely,Never,Rarely,Rarely,Rarely,Often,Rarely,Often,Spouse/partner,Three or four,Three or four,Three or four,Three or four,Two,Two,Introversion; lack of desire and/or energy to socialize,,Yes,All clear - questions were straight and to the point.  Good coverage of the topic,Thank you for the opportunity!  Have a great night!,F2A88B8549DE49A1AFD06617A9FBD49E,0f2233ca-7116-49da-89d6-b1a92a4836cf,b26f78b5-8c32-4d4d-a047-12a43686dd88,13,80.0,33.33333333333333,15-30 min,14.0,4.714285714285714,5.25,3.75,4.0,3.75,3.5,5.5,2.5,5.75,5.333333333333333,82.5,5.0,6.0,4.0,6.666666666666667,6.6,5.0,4.0,7.0,6.0,4.916666666666667,5.0,5.0,4.75,6.0,6.25,5.833333333333333,,16,08/01/2024 07:50:54 AM,08/01/2024 08:01:45 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,54,"Bachelor's degree (for example: BA, AB, BS)",Male,"Agriculture, Food and Natural Resources",Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$200,000-$224,999",White,Full-time,non
154,156,2024-10-29 18:04:14,2024-10-29 18:14:25,IP Address,100,610,True,2024-10-29 18:14:25,R_6S3Rt9Y57NrFtzr,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Companion chatbot,Person (online/remote),No preference,No preference,Person (online/remote),I would prefer talking to a companion AI for things that might be embarrassing. For casual conversations with friends I would prefer real person.,"Companion chatbots are less judgmental,Information is kept private to you ,You have more control over the chatbot than a person,Companion chatbot provides more useful information",,"People have independence and personal agency  ,You feel that only real people can truly empathize with and understand you",,You can shape how the AI responses and keep potentially embarrassing info private with a chatbot. People you are close to you may give empathetic responses without being forced to and can adapt to the situations better.,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Friend,Three or four,Three or four,Three or four,Nine or more,Three or four,Two,"Mental health issues ,Social anxiety,Communication difficulties,Culture differences - nationality, religion, generation, etc.,Too busy with work or projects,Discomfort with contacting others,Introversion; lack of desire and/or energy to socialize",,No,,,2029C4904F1A44AA8310B252A99D6C31,59068e03-7019-4c48-abfd-65861a982cb5,b26f78b5-8c32-4d4d-a047-12a43686dd88,22,0.0,0.0,,,4.833333333333333,4.625,,,,,,,,,65.0,,,,3.75,2.6,2.0,2.0,6.0,4.5,3.9166666666666665,4.0,4.0,3.75,6.75,6.0,4.333333333333333,,19,06/11/2024 07:24:27 PM,06/11/2024 07:32:07 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,28,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$200,000-$224,999",Chinese,Full-time,new
155,157,2024-10-29 17:59:00,2024-10-29 18:15:39,IP Address,100,998,True,2024-10-29 18:15:40,R_3jv8zJEp1u6NMt9,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Person (online/remote),When you just want to learn about something without having to do much work,"Companion chatbots are less judgmental,Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"Certain scenarios I need to talk to a real person, but sometimes just chatting with a companion bot is relaxing and fun",Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Spouse/partner,Three or four,Two,Two,Two,One,One,"Social anxiety,Too busy with work or projects,Worry that friends are too busy / don't want to bother them",,Yes,none,thanks,06D0A0B7823B4E6BBFEFA270E8EEB2F7,9c136c87-720c-4f41-b0ed-ea68237355a2,b26f78b5-8c32-4d4d-a047-12a43686dd88,14,0.0,0.0,,,4.428571428571429,4.375,,,,,,,,,68.5,,,,6.083333333333333,4.6,4.0,2.5,5.5,5.0,4.833333333333333,5.0,4.75,4.75,5.75,5.5,5.5,,11,08/01/2024 11:57:58 AM,08/01/2024 12:19:36 PM,Redirect,4AF210AA8D,5,0,1.25,Approved,,32,"Bachelor's degree (for example: BA, AB, BS)",Female,Business Management & Administration,In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$70,000-$79,999",White,Full-time,current
